id,created_at,participant_id,pair_id,game,bandwidth_mbit,pair_index,video_a_kind,video_b_kind,video_a_file,video_b_file,score_a,score_b,which_real,is_correct,pairs_version,pairs_hash,user_agent
51,2026-06-22 20:36:39.834+00,Mo7BmDwpAW,8Mbit_Fortnite,Fortnite,8,12,real,synth,videos/8Mbit_Loss0_Fortnite.mp4,videos/8Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,2,2,Video A,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
52,2026-06-22 20:38:23.033+00,Mo7BmDwpAW,4Mbit_Forza,Forza,4,13,real,synth,videos/4Mbit_Loss0_Forza.mp4,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,3,3,Video B,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
53,2026-06-22 20:38:42.152+00,Mo7BmDwpAW,4Mbit_Fortnite,Fortnite,4,14,real,synth,videos/4Mbit_Loss0_Fortnite.mp4,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,2,2,Video A,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
54,2026-06-23 17:17:18.422+00,qOFcv3WSQY,8Mbit_Fortnite,Fortnite,8,0,real,synth,videos/8Mbit_Loss0_Fortnite.mp4,videos/8Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,4,4,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
55,2026-06-23 17:17:49.21+00,qOFcv3WSQY,8Mbit_Forza,Forza,8,1,synth,real,videos/8Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,videos/8Mbit_Loss0_Forza.mp4,5,4,Video A,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
56,2026-06-23 17:18:16.593+00,qOFcv3WSQY,6Mbit_Kombat,Kombat,6,2,real,synth,videos/6Mbit_Loss0_Kombat.mp4,videos/6Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,5,4,Video A,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
57,2026-06-23 17:18:50.838+00,qOFcv3WSQY,10Mbit_Forza,Forza,10,3,synth,real,videos/10Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,videos/10Mbit_Loss0_Forza.mp4,5,4,Video A,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
58,2026-06-23 17:19:37.062+00,qOFcv3WSQY,8Mbit_Kombat,Kombat,8,4,synth,real,videos/8Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,videos/8Mbit_Loss0_Kombat.mp4,3,5,Video B,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
59,2026-06-23 17:20:25.325+00,qOFcv3WSQY,6Mbit_Forza,Forza,6,5,real,synth,videos/6Mbit_Loss0_Forza.mp4,videos/6Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,5,3,Video A,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
60,2026-06-23 17:20:43.678+00,qOFcv3WSQY,10Mbit_Fortnite,Fortnite,10,6,real,synth,videos/10Mbit_Loss0_Fortnite.mp4,videos/10Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,5,3,Video A,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
61,2026-06-23 17:21:21.794+00,qOFcv3WSQY,10Mbit_Kombat,Kombat,10,7,real,synth,videos/10Mbit_Loss0_Kombat.mp4,videos/10Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,5,3,Video A,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
62,2026-06-23 17:21:39.615+00,qOFcv3WSQY,6Mbit_Fortnite,Fortnite,6,8,real,synth,videos/6Mbit_Loss0_Fortnite.mp4,videos/6Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,4,4,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
63,2026-06-23 17:22:00.172+00,qOFcv3WSQY,4Mbit_Kombat,Kombat,4,9,real,synth,videos/4Mbit_Loss0_Kombat.mp4,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,2,2,None,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
64,2026-06-23 17:22:15.615+00,qOFcv3WSQY,2Mbit_Kombat,Kombat,2,10,real,synth,videos/2Mbit_Loss0_Kombat.mp4,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,3,3,None,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
65,2026-06-23 17:22:47.198+00,qOFcv3WSQY,4Mbit_Fortnite,Fortnite,4,11,real,synth,videos/4Mbit_Loss0_Fortnite.mp4,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,3,3,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
66,2026-06-23 17:23:05.191+00,qOFcv3WSQY,2Mbit_Forza,Forza,2,12,synth,real,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,videos/2Mbit_Loss0_Forza.mp4,4,4,Video B,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
67,2026-06-23 17:23:19.696+00,qOFcv3WSQY,4Mbit_Forza,Forza,4,13,synth,real,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,videos/4Mbit_Loss0_Forza.mp4,3,3,None,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
68,2026-06-23 17:23:40.966+00,qOFcv3WSQY,2Mbit_Fortnite,Fortnite,2,14,synth,real,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,videos/2Mbit_Loss0_Fortnite.mp4,3,3,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
69,2026-06-25 13:26:15.2+00,sD4LR57GH4,10Mbit_Fortnite,Fortnite,10,0,synth,real,videos/10Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,videos/10Mbit_Loss0_Fortnite.mp4,4,5,Video B,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
70,2026-06-25 13:26:56.056+00,sD4LR57GH4,8Mbit_Kombat,Kombat,8,1,real,synth,videos/8Mbit_Loss0_Kombat.mp4,videos/8Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,5,5,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
71,2026-06-25 13:27:36.257+00,sD4LR57GH4,4Mbit_Fortnite,Fortnite,4,2,synth,real,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,videos/4Mbit_Loss0_Fortnite.mp4,5,5,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
72,2026-06-25 13:27:41.057+00,sD4LR57GH4,8Mbit_Forza,Forza,8,3,synth,real,videos/8Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,videos/8Mbit_Loss0_Forza.mp4,5,5,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
73,2026-06-25 13:27:49.186+00,sD4LR57GH4,10Mbit_Kombat,Kombat,10,4,synth,real,videos/10Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,videos/10Mbit_Loss0_Kombat.mp4,5,5,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
74,2026-06-25 13:27:53.042+00,sD4LR57GH4,2Mbit_Fortnite,Fortnite,2,5,real,synth,videos/2Mbit_Loss0_Fortnite.mp4,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,5,5,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
75,2026-06-25 13:27:56.866+00,sD4LR57GH4,8Mbit_Fortnite,Fortnite,8,6,real,synth,videos/8Mbit_Loss0_Fortnite.mp4,videos/8Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,5,5,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
76,2026-06-25 13:28:00.442+00,sD4LR57GH4,4Mbit_Kombat,Kombat,4,7,synth,real,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,videos/4Mbit_Loss0_Kombat.mp4,5,5,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
77,2026-06-25 13:28:08.114+00,sD4LR57GH4,6Mbit_Fortnite,Fortnite,6,8,real,synth,videos/6Mbit_Loss0_Fortnite.mp4,videos/6Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,5,5,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
78,2026-06-25 13:28:26.339+00,sD4LR57GH4,2Mbit_Forza,Forza,2,9,synth,real,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,videos/2Mbit_Loss0_Forza.mp4,4,4,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
79,2026-06-25 13:28:36.699+00,sD4LR57GH4,2Mbit_Kombat,Kombat,2,10,synth,real,videos/2Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,videos/2Mbit_Loss0_Kombat.mp4,4,4,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
80,2026-06-25 13:28:40.507+00,sD4LR57GH4,10Mbit_Forza,Forza,10,11,real,synth,videos/10Mbit_Loss0_Forza.mp4,videos/10Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,3,3,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
81,2026-06-25 13:28:44.307+00,sD4LR57GH4,4Mbit_Forza,Forza,4,12,real,synth,videos/4Mbit_Loss0_Forza.mp4,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,3,3,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
82,2026-06-25 13:28:49.899+00,sD4LR57GH4,6Mbit_Kombat,Kombat,6,13,synth,real,videos/6Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,videos/6Mbit_Loss0_Kombat.mp4,3,3,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
83,2026-06-25 13:28:54.747+00,sD4LR57GH4,6Mbit_Forza,Forza,6,14,synth,real,videos/6Mbit_Loss0_interpolated_frames_rife_1280_720_Forza.mp4,videos/6Mbit_Loss0_Forza.mp4,3,3,Both,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
84,2026-06-25 18:20:16.887+00,c8uipzFdtu,4Mbit_Fortnite,Fortnite,4,0,real,synth,videos/4Mbit_Loss0_Fortnite.mp4,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Fortnite.mp4,1,1,Video A,true,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
85,2026-06-25 18:20:57.294+00,c8uipzFdtu,4Mbit_Kombat,Kombat,4,1,synth,real,videos/4Mbit_Loss0_interpolated_frames_rife_1280_720_Kombat.mp4,videos/4Mbit_Loss0_Kombat.mp4,1,1,None,false,1.0.1781903019,b615bb70072a145b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0"
