Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Fortnite,55,15.577560,0.605808,1800.214797,42.428938,25.098909,0.441861,0.660794,0.488592,0.105881,0.572055,3.664909
4Mbit_Loss1_Fortnite,56,15.469175,0.608561,1845.707613,42.961699,25.254199,0.445360,0.652934,0.494815,0.105978,0.563929,2.892951
4Mbit_Loss1_Fortnite,57,15.436282,0.615498,1859.739612,43.124698,25.142059,0.448924,0.652216,0.490831,0.112656,0.558352,3.395364
4Mbit_Loss1_Fortnite,58,15.485479,0.619837,1838.791439,42.881132,24.962718,0.447001,0.656940,0.496792,0.116543,0.551164,1.063034
4Mbit_Loss1_Fortnite,59,15.475543,0.624103,1843.002980,42.930211,24.911367,0.446617,0.657883,0.496021,0.116132,0.555538,0.000000
4Mbit_Loss1_Fortnite,60,15.529831,0.621312,1820.108335,42.662728,24.770059,0.443950,0.662324,0.494544,0.113392,0.555503,0.000000
4Mbit_Loss1_Fortnite,61,15.597090,0.624059,1792.137521,42.333645,24.667634,0.440369,0.668104,0.495291,0.116544,0.555668,1.758072
4Mbit_Loss1_Fortnite,62,15.613781,0.630189,1785.263070,42.252374,24.524188,0.439634,0.673455,0.503071,0.119611,0.542480,2.495017
4Mbit_Loss1_Fortnite,63,15.733723,0.637132,1736.633236,41.672932,24.121980,0.435369,0.687707,0.497612,0.122008,0.544498,2.770565
4Mbit_Loss1_Fortnite,64,15.862603,0.644477,1685.854353,41.059157,23.648606,0.432826,0.697639,0.501240,0.124358,0.528360,2.594071
4Mbit_Loss1_Fortnite,65,15.857376,0.650383,1687.884498,41.083872,23.536126,0.434671,0.694637,0.504794,0.127517,0.524614,0.000000
4Mbit_Loss1_Fortnite,66,15.930544,0.656647,1659.685929,40.739243,23.286019,0.433610,0.695099,0.506437,0.129826,0.522950,0.000000
4Mbit_Loss1_Fortnite,67,16.045207,0.659504,1616.440172,40.204977,23.050184,0.429529,0.700366,0.508885,0.134974,0.515654,0.000000
4Mbit_Loss1_Fortnite,68,16.026203,0.661037,1623.529020,40.293039,23.014944,0.431272,0.698228,0.508935,0.134014,0.517013,0.000000
4Mbit_Loss1_Fortnite,69,16.062322,0.661428,1610.082597,40.125835,22.932947,0.430096,0.699933,0.511523,0.137539,0.511243,0.000000
