ID,command,encrypted_cmd
116,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.019256591796875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d199913ff94c9aa714a82c1c7271faece9771c86219c94c2e6f19deb73990d981e2406cd9e71edb7e0604933
116,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.019256591796875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d199913ff94c9aa714a82c1c7271faece9771c86219c94c2e6f19deb73990d981e2406cd9e71edb7e0604933
120,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.023956298828125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9fcccbbc2a433568c4bccdf66e29163b9cdabf379e5c332621f877f599e9cab5916860fcaea9646ff393023b29
120,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.023956298828125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9fcccbbc2a433568c4bccdf66e29163b9cdabf379e5c332621f877f599e9cab5916860fcaea9646ff393023b29
124,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e5322582cb7bf0c5cc536834a1e2feecc3479693f7ba40402ad566956621ec17637f85c504cf324c6abf088033
124,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e5322582cb7bf0c5cc536834a1e2feecc3479693f7ba40402ad566956621ec17637f85c504cf324c6abf088033
128,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e5322582cb7bf0c5cc536834a1e2feecc3479693f7ba40402ad566956621ec17637f85c504cf324c6abf088033
132,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e5322582cb7bf0c5cc536834a1e2feecc3479693f7ba40402ad566956621ec17637f85c504cf324c6abf088033
136,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
136,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
140,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},52377b0ab6e5b89207725e64262e7e3ea684db496ee4f6c5e30df5fad2318ebf09a114fe5e5a57879246f636ed
140,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},52377b0ab6e5b89207725e64262e7e3ea684db496ee4f6c5e30df5fad2318ebf09a114fe5e5a57879246f636ed
144,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},52377b0ab6e5b89207725e64262e7e3ea684db496ee4f6c5e30df5fad2318ebf09a114fe5e5a57879246f636ed
148,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},52377b0ab6e5b89207725e64262e7e3ea684db496ee4f6c5e30df5fad2318ebf09a114fe5e5a57879246f636ed
152,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},52377b0ab6e5b89207725e64262e7e3ea684db496ee4f6c5e30df5fad2318ebf09a114fe5e5a57879246f636ed
157,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},12831f9baf9a77cb2287f53208a4101f34fe0bc616765dc663f68d24fe7d74ef5dec5484f71bd3afd40a8d6e8d
