ID,command,encrypted_cmd
61,{'axes': {'0': 0.0096435546875, '1': 0.05218505859375, '2': -1.0, '3': -0.761871337890625, '4': -0.620941162109375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},ca459d4a152947bdd2174e90a8ddd94c6949de0f02f2ccc74ec43172ac6b232776fd6d18ab8326a4735811799a
65,{'axes': {'0': 0.046417236328125, '1': 0.042755126953125, '2': -1.0, '3': 0.0361328125, '4': 0.044769287109375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6a9a509d83bc1cc239ea01ff5fbcc3c8353b4c79d45c7d05e932aaaeedfdec5f5dc289eeb8928671354d7e4934
65,{'axes': {'0': 0.046417236328125, '1': 0.042755126953125, '2': -1.0, '3': 0.0361328125, '4': 0.044769287109375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6a9a509d83bc1cc239ea01ff5fbcc3c8353b4c79d45c7d05e932aaaeedfdec5f5dc289eeb8928671354d7e4934
70,{'axes': {'0': 0.01116943359375, '1': 0.058807373046875, '2': -1.0, '3': 0.038970947265625, '4': 0.042144775390625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},623c36172213811d2547cb1080e96b6ab429f6ff28e029ae3e00a5adf363e1c4b3cb984f33f1de2be0861ff9d9
70,{'axes': {'0': 0.01116943359375, '1': 0.058807373046875, '2': -1.0, '3': 0.038970947265625, '4': 0.042144775390625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},623c36172213811d2547cb1080e96b6ab429f6ff28e029ae3e00a5adf363e1c4b3cb984f33f1de2be0861ff9d9
74,{'axes': {'0': -1.0, '1': 0.50775146484375, '2': -1.0, '3': -0.20306396484375, '4': 0.110260009765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c82d6023fa9816f60bb5915721e7d8faf70e7c532557ebaab21c50617c504b03b2fd808703c4a8bd94bc83b2a8
74,{'axes': {'0': -1.0, '1': 0.50775146484375, '2': -1.0, '3': -0.20306396484375, '4': 0.110260009765625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c82d6023fa9816f60bb5915721e7d8faf70e7c532557ebaab21c50617c504b03b2fd808703c4a8bd94bc83b2a8
78,{'axes': {'0': -1.0, '1': 0.171722412109375, '2': -1.0, '3': -1.0, '4': 0.29998779296875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},069c9cf0e8dbe5a8e2c5a92768f2267d7663c1f6bd07f1d661189f4f7f358693cb3cc6b85113b9c16baa8f96ec
78,{'axes': {'0': -1.0, '1': 0.171722412109375, '2': -1.0, '3': -1.0, '4': 0.29998779296875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},069c9cf0e8dbe5a8e2c5a92768f2267d7663c1f6bd07f1d661189f4f7f358693cb3cc6b85113b9c16baa8f96ec
82,{'axes': {'0': -1.0, '1': -0.197418212890625, '2': -1.0, '3': -1.0, '4': 0.25262451171875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},aa12ec9f73e97ec2ea676dc512c262315cea19d989685c01151b37d02aa4585f93b050bf2b2f44c2d024ee25fe
