Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Forza,56,10.337110,0.379327,6016.852554,77.568373,64.161086,1.425761,0.381517,0.653883,0.139363,0.562235,62.060489
4Mbit_Loss1_Forza,57,10.339795,0.379565,6013.133437,77.544397,64.194850,1.424915,0.381001,0.656131,0.142857,0.560373,62.436855
4Mbit_Loss1_Forza,58,10.441929,0.386317,5873.370696,76.637919,62.962882,1.353377,0.370622,0.599145,0.127939,0.560500,44.908346
4Mbit_Loss1_Forza,59,10.692179,0.434001,5544.500672,74.461404,59.941647,1.241808,0.394955,0.613269,0.152067,0.553414,19.175933
4Mbit_Loss1_Forza,60,10.759299,0.449548,5459.469710,73.888224,59.268788,1.208698,0.400362,0.616352,0.132356,0.545348,12.318096
4Mbit_Loss1_Forza,61,11.271564,0.491915,4852.035050,69.656551,56.056453,1.078587,0.484590,0.602313,0.171131,0.514646,5.822644
4Mbit_Loss1_Forza,62,11.226531,0.508491,4902.609300,70.018635,56.284188,1.068287,0.472342,0.604547,0.172115,0.497827,12.873406
4Mbit_Loss1_Forza,63,11.191295,0.521842,4942.547629,70.303255,56.540191,1.066608,0.464441,0.604149,0.203359,0.489044,0.407679
4Mbit_Loss1_Forza,64,11.233355,0.533687,4894.911793,69.963646,56.422313,1.058738,0.467978,0.605128,0.200179,0.476669,0.000000
4Mbit_Loss1_Forza,65,11.231862,0.534355,4896.594624,69.975672,56.430173,1.058902,0.465953,0.608319,0.206297,0.474347,40.982613
4Mbit_Loss1_Forza,66,11.255804,0.534708,4869.675319,69.783059,56.308297,1.055786,0.468688,0.608499,0.206271,0.474261,40.531832
4Mbit_Loss1_Forza,67,11.231219,0.534503,4897.319725,69.980853,56.425147,1.058833,0.466903,0.608106,0.199828,0.473500,40.660330
4Mbit_Loss1_Forza,68,11.229529,0.535775,4899.226255,69.994473,56.429805,1.059002,0.466666,0.615220,0.211371,0.468811,41.155394
4Mbit_Loss1_Forza,69,11.053917,0.511859,5101.391172,71.424024,57.301307,1.085302,0.415016,0.584672,0.174314,0.484738,0.000000
4Mbit_Loss1_Forza,70,11.031286,0.513126,5128.043844,71.610361,57.398762,1.091966,0.402559,0.591048,0.179144,0.493049,0.000000
4Mbit_Loss1_Forza,71,10.998046,0.514242,5167.443665,71.884934,57.614075,1.100024,0.393792,0.593557,0.179786,0.493573,0.000000
4Mbit_Loss1_Forza,72,10.947939,0.518583,5227.408329,72.300818,57.952858,1.112230,0.371102,0.596107,0.183644,0.485565,0.000000
4Mbit_Loss1_Forza,73,10.935388,0.516650,5242.537926,72.405372,57.970011,1.113898,0.366303,0.592099,0.182177,0.487291,15.003951
4Mbit_Loss1_Forza,74,10.926249,0.516940,5253.580825,72.481590,58.003681,1.115170,0.364602,0.594383,0.183512,0.485772,15.236528
4Mbit_Loss1_Forza,75,10.838915,0.516071,5360.297363,73.214052,58.453755,1.129430,0.344348,0.598477,0.189405,0.486666,0.000000
4Mbit_Loss1_Forza,76,10.753459,0.502854,5466.816531,73.937923,58.832129,1.142112,0.305193,0.579127,0.171149,0.486289,0.000000
4Mbit_Loss1_Forza,77,10.726861,0.506519,5500.400346,74.164684,58.923760,1.150160,0.283220,0.591569,0.175815,0.489372,0.000000
4Mbit_Loss1_Forza,78,10.720469,0.505672,5508.501747,74.219282,58.962009,1.151804,0.275694,0.588763,0.174706,0.486099,0.000000
4Mbit_Loss1_Forza,79,10.717908,0.507097,5511.750516,74.241165,58.996008,1.152096,0.272491,0.599706,0.178199,0.485772,14.739199
4Mbit_Loss1_Forza,80,10.723488,0.507025,5504.673963,74.193490,58.953268,1.151338,0.274494,0.599983,0.177914,0.486556,14.905439
4Mbit_Loss1_Forza,81,10.705519,0.507005,5527.495744,74.347130,59.039435,1.153957,0.271875,0.599868,0.178371,0.486272,14.653539
4Mbit_Loss1_Forza,82,10.698556,0.507041,5536.365270,74.406756,59.068912,1.154897,0.270070,0.600764,0.177918,0.486087,14.709663
4Mbit_Loss1_Forza,83,10.702660,0.507073,5531.135847,74.371606,59.047140,1.154285,0.272219,0.600602,0.178706,0.485857,14.768549
4Mbit_Loss1_Forza,84,10.701157,0.511617,5533.051089,74.384482,58.881825,1.161499,0.258448,0.602474,0.190152,0.480804,0.000000
4Mbit_Loss1_Forza,85,10.757355,0.514389,5461.913615,73.904760,58.343913,1.163596,0.238097,0.606690,0.190494,0.474448,0.000000
4Mbit_Loss1_Forza,86,10.684878,0.478664,5553.829962,74.524023,59.048460,1.179069,0.187772,0.564928,0.115367,0.516251,0.000000
4Mbit_Loss1_Forza,87,10.560413,0.449420,5715.299798,75.599602,59.465933,1.202852,0.126244,0.548828,0.086570,0.534007,0.000000
4Mbit_Loss1_Forza,88,10.605870,0.449049,5655.791711,75.204998,59.307793,1.196538,0.132223,0.548548,0.088154,0.530786,0.000000
4Mbit_Loss1_Forza,89,10.690416,0.456475,5546.751612,74.476517,58.880075,1.188988,0.142117,0.546574,0.092106,0.532904,0.000000
4Mbit_Loss1_Forza,90,10.709237,0.455192,5522.765757,74.315313,58.653276,1.189570,0.109338,0.540579,0.087158,0.543036,0.000000
4Mbit_Loss1_Forza,91,10.677635,0.452086,5563.100054,74.586192,58.615477,1.200053,0.076249,0.536610,0.086466,0.541638,0.000000
4Mbit_Loss1_Forza,92,10.692353,0.447249,5544.279369,74.459918,58.489358,1.200253,0.050001,0.533030,0.076178,0.542902,0.000000
4Mbit_Loss1_Forza,93,10.645401,0.441122,5604.543982,74.863502,58.791185,1.211338,0.014518,0.535104,0.078711,0.533904,0.000000
4Mbit_Loss1_Forza,94,10.652571,0.451684,5595.298903,74.801731,58.436112,1.215168,-0.001613,0.544387,0.093642,0.525840,0.000000
4Mbit_Loss1_Forza,95,10.668812,0.471748,5574.412610,74.661989,58.117650,1.216731,-0.011630,0.558015,0.122176,0.526005,0.000000
4Mbit_Loss1_Forza,96,10.686312,0.456294,5551.995842,74.511716,58.170573,1.214371,-0.019744,0.546618,0.098645,0.527466,0.000000
4Mbit_Loss1_Forza,97,10.672764,0.450880,5569.343441,74.628034,58.236083,1.219782,-0.038371,0.540315,0.084163,0.535906,0.000000
4Mbit_Loss1_Forza,98,10.761342,0.455476,5456.901793,73.870845,57.562423,1.210111,-0.028165,0.523915,0.084497,0.576620,0.000000
