frame_id,resolution,Frame Size(Byte),GOP,current_srv_fps,processing_time,bitrate
39,(1280, 720),2764800,3,13.91960229769724,0.027930452997679822,3773.0
40,(1280, 720),2764800,3,16.392463373517433,0.029800276999594644,3773.0
41,(1280, 720),2764800,3,15.383715556592264,0.029435955002554692,3773.0
42,(1280, 720),2764800,3,15.873738252725186,0.03196855400165077,3773.0
43,(1280, 720),2764800,3,17.24121343865595,0.025754971007700078,3773.0
44,(1280, 720),2764800,3,15.627939517901675,0.029540500006987713,3773.0
45,(1280, 720),2764800,3,15.149117002621562,0.03080636299273465,3773.0
46,(1280, 720),2764800,3,14.704529750480447,0.033721234009135514,3773.0
47,(1280, 720),2764800,3,16.66746031805474,0.029211149987531826,3773.0
48,(1280, 720),2764800,3,15.872784836284271,0.03117322899925057,3773.0
49,(1280, 720),2764800,3,15.62677558906898,0.02730018101283349,3773.0
49,(1280, 720),2764800,3,15.315283335139831,0.032892566989175975,3773.0
49,(1280, 720),2764800,3,17.329500115891538,0.02841443799843546,3773.0
50,(1280, 720),2764800,3,18.029104779666667,0.024539243007893674,3773.0
51,(1280, 720),2764800,3,14.743588211660468,0.02707194500544574,3773.0
52,(1280, 720),2764800,3,14.988370149107194,0.031997817000956275,3773.0
53,(1280, 720),2764800,3,17.540418345986588,0.021707263993448578,3773.0
54,(1280, 720),2764800,3,13.893689544140333,0.03288723499281332,3773.0
55,(1280, 720),2764800,3,19.508236755525218,0.021000348002417013,3773.0
56,(1280, 720),2764800,3,14.920343197568377,0.02675582899246365,3773.0
57,(1280, 720),2764800,3,14.893126181223858,0.02574495600129012,3773.0
57,(1280, 720),2764800,3,15.68538727175053,0.03069362699170597,3773.0
58,(1280, 720),2764800,3,17.575262015315786,0.021205361001193523,3773.0
59,(1280, 720),2764800,3,15.528360461708402,0.0256079770042561,3773.0
60,(1280, 720),2764800,3,14.383406591093967,0.027696744989953004,3773.0
61,(1280, 720),2764800,3,16.66675805384215,0.030576892997487448,3773.0
62,(1280, 720),2764800,3,16.665857818150517,0.02467787399655208,3773.0
62,(1280, 720),2764800,3,15.020358742265248,0.030891540009179153,3773.0
63,(1280, 720),2764800,3,17.76414502377085,0.021976698000798933,3773.0
64,(1280, 720),2764800,3,15.860026760975554,0.01963860500836745,3773.0
65,(1280, 720),2764800,3,14.06832114200026,0.031214422997436486,3773.0
66,(1280, 720),2764800,3,14.262213825958328,0.036262413996155374,3773.0
67,(1280, 720),2764800,3,12.065235424719042,0.033232420988497324,3773.0
68,(1280, 720),2764800,3,16.627491463588484,0.02918885300459806,3773.0
69,(1280, 720),2764800,3,13.725564773092147,0.03026067699829582,3773.0
70,(1280, 720),2764800,3,15.95673758160559,0.032070191999082454,3773.0
71,(1280, 720),2764800,3,17.106275127377508,0.027877729007741436,3773.0
71,(1280, 720),2764800,3,16.346999992381413,0.026659572002245113,3773.0
72,(1280, 720),2764800,3,17.857424750269256,0.020479767001233995,3773.0
73,(1280, 720),2764800,3,15.594501541396482,0.02569398400373757,3773.0
74,(1280, 720),2764800,3,15.02216384919714,0.028602368009160273,3773.0
75,(1280, 720),2764800,3,17.33923237383798,0.024358752998523414,3773.0
76,(1280, 720),2764800,3,15.542942732520807,0.028298934004851617,3773.0
77,(1280, 720),2764800,3,17.875440287223743,0.020893011998850852,3773.0
77,(1280, 720),2764800,3,15.038154354347949,0.026735517996712588,3773.0
78,(1280, 720),2764800,3,14.80336468496441,0.034274017001735047,3773.0
79,(1280, 720),2764800,3,19.31154459350423,0.02000432500790339,3773.0
80,(1280, 720),2764800,3,15.41541039596705,0.027908753996598534,3773.0
81,(1280, 720),2764800,3,18.164423928890677,0.01884326800063718,3773.0
82,(1280, 720),2764800,3,16.433583671050254,0.022840994002763182,3773.0
83,(1280, 720),2764800,3,15.279302672627615,0.026522590007516555,3773.0
84,(1280, 720),2764800,3,18.05322147554799,0.02110457200615201,3773.0
85,(1280, 720),2764800,3,18.122605371104065,0.01921347199822776,3773.0
86,(1280, 720),2764800,3,16.911580168345417,0.024775035999482498,3773.0
87,(1280, 720),2764800,3,16.559685030175455,0.02063749299850315,3773.0
88,(1280, 720),2764800,3,16.68289467287304,0.02230567901278846,3773.0
89,(1280, 720),2764800,3,15.211899709837887,0.03021438801079057,3773.0
90,(1280, 720),2764800,3,17.96782917893635,0.021542742004385218,3773.0
91,(1280, 720),2764800,3,15.954966405937885,0.025789587991312146,3773.0
92,(1280, 720),2764800,3,17.671336949947754,0.02066787901276257,3773.0
93,(1280, 720),2764800,3,17.232225138500965,0.01668671400693711,3773.0
94,(1280, 720),2764800,3,14.429891994134275,0.030099441995844245,3773.0
94,(1280, 720),2764800,3,15.630804401592702,0.030863609004882164,3773.0
95,(1280, 720),2764800,3,20.490149790880118,0.024557099997764453,3773.0
96,(1280, 720),2764800,3,16.078456694026467,0.02640293800504878,3773.0
97,(1280, 720),2764800,3,19.01236866642236,0.02366624600836076,3773.0
98,(1280, 720),2764800,3,17.844084492809287,0.019849471005727537,3773.0
99,(1280, 720),2764800,3,15.300314418133377,0.027528994003660046,3773.0
100,(1280, 720),2764800,3,20.07477814696984,0.022119763001683168,3773.0
