frame_id,resolution,Frame Size(Byte),GOP,current_srv_fps,processing_time,bitrate
37,(1280, 720),2764800,3,16.968841003526073,0.014363976995809935,980.0
38,(1280, 720),2764800,3,14.74357125693229,0.02366529099526815,980.0
39,(1280, 720),2764800,3,14.625181888703487,0.02637770200090017,980.0
40,(1280, 720),2764800,3,16.129569215233687,0.0253488140006084,980.0
41,(1280, 720),2764800,3,16.058660876608528,0.022322054996038787,980.0
41,(1280, 720),2764800,3,14.198327634848722,0.03094253400922753,980.0
42,(1280, 720),2764800,3,17.156222329568543,0.026139578010770492,980.0
43,(1280, 720),2764800,3,17.763736692256526,0.020321274001616985,980.0
44,(1280, 720),2764800,3,15.218979736097742,0.025634777994127944,980.0
44,(1280, 720),2764800,3,14.282216774235062,0.029515146990888752,980.0
44,(1280, 720),2764800,3,18.450584831810946,0.01981477899244055,980.0
45,(1280, 720),2764800,3,14.966307323436101,0.023859699998865835,980.0
46,(1280, 720),2764800,3,14.929606904274138,0.027104164997581393,980.0
47,(1280, 720),2764800,3,15.807903870694249,0.02692526500322856,980.0
48,(1280, 720),2764800,3,14.960847312715703,0.02446170999610331,980.0
49,(1280, 720),2764800,3,15.648614737823099,0.026948077997076325,980.0
50,(1280, 720),2764800,3,15.387224111629523,0.028393168991897255,980.0
51,(1280, 720),2764800,3,17.205658284951955,0.024070175000815652,980.0
52,(1280, 720),2764800,3,13.53507965203508,0.032867314002942294,980.0
53,(1280, 720),2764800,3,17.714514443021432,0.023851949998061173,980.0
53,(1280, 720),2764800,3,15.744546126164435,0.017880890998640098,980.0
54,(1280, 720),2764800,3,14.079555994493564,0.02447503300209064,980.0
55,(1280, 720),2764800,3,14.481121714830032,0.027411424001911655,980.0
56,(1280, 720),2764800,3,16.084092526439985,0.024316618000739254,980.0
57,(1280, 720),2764800,3,14.274827078861104,0.030310097994515672,980.0
57,(1280, 720),2764800,3,14.763978172505498,0.03186267599812709,980.0
58,(1280, 720),2764800,3,18.359675366952665,0.02213171499897726,980.0
59,(1280, 720),2764800,3,13.599699958886717,0.03155701799551025,980.0
60,(1280, 720),2764800,3,16.15841398552869,0.020763945998623967,980.0
61,(1280, 720),2764800,3,13.67637081285179,0.028749113000230864,980.0
62,(1280, 720),2764800,3,16.670685969901204,0.026946785001200624,980.0
63,(1280, 720),2764800,3,15.385369031089727,0.02546098700258881,980.0
64,(1280, 720),2764800,3,14.492044984103984,0.03204391000326723,980.0
64,(1280, 720),2764800,3,16.444659379119212,0.02834540800540708,980.0
65,(1280, 720),2764800,3,16.343074872323726,0.02363071900617797,980.0
66,(1280, 720),2764800,3,14.491962867960394,0.029972033997182734,980.0
67,(1280, 720),2764800,3,15.383056961216841,0.028793200996005908,980.0
68,(1280, 720),2764800,3,15.38690803290577,0.032989370010909624,980.0
69,(1280, 720),2764800,3,16.126151140137786,0.030454360006842762,980.0
69,(1280, 720),2764800,3,16.582939679492878,0.024318523006513715,980.0
69,(1280, 720),2764800,3,15.45712499880272,0.02588148599897977,980.0
70,(1280, 720),2764800,3,15.385419687216832,0.027586962998611853,980.0
71,(1280, 720),2764800,3,17.56350735593224,0.02230479101126548,980.0
72,(1280, 720),2764800,3,14.883572069040508,0.026156173000345007,980.0
73,(1280, 720),2764800,3,18.607422713892163,0.01695888300309889,980.0
74,(1280, 720),2764800,3,15.203896955015267,0.023128621993237175,980.0
75,(1280, 720),2764800,3,16.214483896602854,0.023433104986906983,980.0
76,(1280, 720),2764800,3,15.746538176619238,0.023694992007222027,980.0
77,(1280, 720),2764800,3,14.66689644950947,0.026881664991378784,980.0
77,(1280, 720),2764800,3,14.073585739382242,0.03381400401121937,980.0
78,(1280, 720),2764800,3,20.139299506625928,0.019982821002486162,980.0
79,(1280, 720),2764800,3,16.348748898895526,0.020585702994139865,980.0
80,(1280, 720),2764800,3,15.699745505484522,0.01843941499828361,980.0
