ID,command,encrypted_cmd
105,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
109,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
113,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
118,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
121,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.067047119140625, '4': -0.000396728515625, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3b3fd9b335212c514a8fadd99446dd900fa6f486b2f1225c9e601d540380e2b0872bd0b4db5a46cada75843d8b
126,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
126,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
130,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
134,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
137,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
142,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
